article_id,title,year,is_relevant,relevance_score,relevance_labels,exclusion_reason,primary_url,pdf_urls,publisher_urls,doi,arxiv_id,identifiers,publishers,source_email_count,raw_record_count,first_seen_email_ts,last_seen_email_ts
gsa-e25db729e42b,"МОЛОДЕЖЬ. ОБЩЕСТВО. СОВРЕМЕННАЯ НАУКА, ТЕХНИКА И ИННОВАЦИИ",2026,False,0,[],missing clear distributed/edge/cloud computing context,https://elibrary.ru/item.asp?id=83049583,[],"[""https://elibrary.ru/item.asp?id=83049583""]",,,{},"[""elibrary.ru""]",1,1,2026-05-12T17:04:44,2026-05-12T17:04:44
gsa-e5060ff39505,Electric Vehicle Routing Problem with Drones Considering Weather Conditions and Time Windows,2026,False,0,[],missing clear distributed/edge/cloud computing context,https://www.mdpi.com/2032-6653/17/5/253,[],"[""https://www.mdpi.com/2032-6653/17/5/253""]",,,"{""mdpi_path"": [""2032-6653/17/5/253""]}","[""MDPI""]",1,1,2026-05-12T17:04:44,2026-05-12T17:04:44
gsa-642f49d52b3b,AI-Driven Energy Management of a Multi-Port Hybrid Renewable Microgrid with Hybrid Energy Storage,2026,False,0,[],missing clear distributed/edge/cloud computing context,https://ieeexplore.ieee.org/iel8/6287639/6514899/11511656.pdf,"[""https://ieeexplore.ieee.org/iel8/6287639/6514899/11511656.pdf""]",[],,,"{""ieee_document_id"": [""11511656""]}","[""IEEE Xplore""]",1,1,2026-05-12T17:04:44,2026-05-12T17:04:44
gsa-431fd2ba2e52,ЧИСЛЕННОЕ МОДЕЛИРОВАНИЕ ГАЗИФИКАЦИИ ТВЕРДЫХ ПОРИСТЫХ ПОЛИМЕРОВ В ДВУХКАМЕРНОМ ГАЗОГЕНЕРАТОРЕ ЛЕТАТЕЛЬНОГО АППАРАТА,2026,False,0,[],missing clear distributed/edge/cloud computing context,https://elibrary.ru/download/elibrary_88779458_57533395.pdf#page=59,"[""https://elibrary.ru/download/elibrary_88779458_57533395.pdf#page=59""]",[],,,{},"[""elibrary.ru""]",1,1,2026-05-11T04:04:27,2026-05-11T04:04:27
gsa-90adcb64ea1c,The cold chain vehicle routing problem in omni-channel retailing,2026,False,0,[],missing clear distributed/edge/cloud computing context,https://www.sciencedirect.com/science/article/pii/S0957417426014776,[],"[""https://www.sciencedirect.com/science/article/pii/S0957417426014776""]",,,"{""sciencedirect_pii"": [""S0957417426014776""]}","[""ScienceDirect""]",1,1,2026-05-11T04:04:27,2026-05-11T04:04:27
gsa-40f712818179,Centralised control of tribrid energy storage system for frequency regulation with controller hardware-in-the-loop validation,2026,False,1,"[""adaptive_learning_context""]",missing clear distributed/edge/cloud computing context,https://www.sciencedirect.com/science/article/pii/S2352152X26021791,[],"[""https://www.sciencedirect.com/science/article/pii/S2352152X26021791""]",,,"{""sciencedirect_pii"": [""S2352152X26021791""]}","[""ScienceDirect""]",1,1,2026-05-11T04:04:27,2026-05-11T04:04:27
gsa-d271c24ea6a6,Adaptive Fuzzy Secondary Load Frequency Control with Photovoltaic and Battery Energy Storage System,2026,False,1,"[""computing_context"", ""adaptive_learning_context"", ""off_topic_energy_carbon""]",energy/carbon/hydrogen topic without distributed-computing context,https://www.sciencedirect.com/science/article/pii/S1568494626007556,[],"[""https://www.sciencedirect.com/science/article/pii/S1568494626007556""]",,,"{""sciencedirect_pii"": [""S1568494626007556""]}","[""ScienceDirect""]",1,1,2026-05-11T04:04:27,2026-05-11T04:04:27
gsa-74a866e0c184,"Технологии открытой отработки крупных золоторудных месторождений России к 2025 году (Наталкинское, Павлик, Хаканджинское, Култуминское, Вернинское)",2026,False,0,[],missing clear distributed/edge/cloud computing context,https://n-gn.ru/images/pdf/2026/02/4-13.pdf,"[""https://n-gn.ru/images/pdf/2026/02/4-13.pdf""]",[],,,{},"[""n-gn.ru""]",1,1,2026-05-09T17:03:01,2026-05-09T17:03:01
gsa-bd8e8c6fed26,"Разработка стандарта, регламентирующего использование беспилотных воздушных судов при выполнении маркшейдерских работ на открытых горных работах",2026,False,0,[],missing clear distributed/edge/cloud computing context,https://cyberleninka.ru/article/n/razrabotka-standarta-reglamentiruyuschego-ispolzovanie-bespilotnyh-vozdushnyh-sudov-pri-vypolnenii-marksheyderskih-rabot-na,[],"[""https://cyberleninka.ru/article/n/razrabotka-standarta-reglamentiruyuschego-ispolzovanie-bespilotnyh-vozdushnyh-sudov-pri-vypolnenii-marksheyderskih-rabot-na""]",,,{},"[""CyberLeninka""]",1,1,2026-05-09T17:03:01,2026-05-09T17:03:01
gsa-cc227d2a4acf,Improving MPC of Hybrid Energy Storage Systems of DC Microgrids Using Deadbeat Control,2026,False,1,"[""adaptive_learning_context""]",missing clear distributed/edge/cloud computing context,https://ieeexplore.ieee.org/abstract/document/11505871/,[],"[""https://ieeexplore.ieee.org/abstract/document/11505871/""]",,,"{""ieee_document_id"": [""11505871""]}","[""IEEE Xplore""]",1,1,2026-05-09T17:03:01,2026-05-09T17:03:01
