article_id,title,year,pdf_url,candidate_source,host,arxiv_id,doi,publishers
gsa-6b8f0851bcad,Federated Reinforcement Learning with Hybrid Optimization for Secure and Reliable Data Transmission in Wireless Sensor Networks (WSNs),2025,https://research.edgehill.ac.uk/files/102468057/mathematics-13-03196-v2.pdf,direct,research.edgehill.ac.uk,,,"[""research.edgehill.ac.uk""]"
gsa-fef2f03bd1f5,FOFF: an energy-efficient task offloading in VEC-enabled vehicular networks using fuzzy TOPSIS,2025,https://link.springer.com/content/pdf/10.1007/s10586-025-05519-2.pdf,derived_springer_doi,link.springer.com,,10.1007/s10586-025-05519-2,"[""Springer""]"
gsa-cea59371864c,A Knowledge Distillation-empowered Adaptive Federated Reinforcement Learning Framework for Multi-Domain IoT Applications Scheduling,2025,https://arxiv.org/pdf/2508.21328,direct,arxiv.org,2508.21328,,"[""arXiv""]"
gsa-9741230fa72d,Deep Reinforcement Learning-Based Joint Trajectory Design and Resource Allocation for Secure and Energy-Efficient UAV Networks,2025,https://ieeexplore.ieee.org/iel8/8782661/8901158/11106477.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-0fb1e5e39a40,Category Attribute-Oriented Heterogeneous Resource Allocation and Task Offloading for SAGIN Edge Computing,2025,https://www.mdpi.com/2224-2708/14/4/81/pdf,derived_mdpi,www.mdpi.com,,,"[""MDPI""]"
gsa-dee92007a17e,Оценка производительности распределенных вычислений методами математического моделирования в инжиниринге,2025,https://rep.polessu.by/bitstream/123456789/34233/1/Otsenka_proizvoditelnosti_raspredelennykh_vychislenii.pdf,direct,rep.polessu.by,,,"[""rep.polessu.by""]"
gsa-db004444069d,Large Language Model-Based Task Offloading and Resource Allocation for Digital Twin Edge Computing Networks,2025,https://arxiv.org/pdf/2507.19050,direct,arxiv.org,2507.19050,,"[""arXiv""]"
gsa-e651a9c3f0e3,A Lyapunov-Guided Diffusion-Based Reinforcement Learning Approach for UAV-Assisted Vehicular Networks with Delayed CSI Feedback,2025,https://arxiv.org/pdf/2507.20524,direct,arxiv.org,2507.20524,,"[""arXiv""]"
gsa-dc60457e624d,Lightweight Federated Learning over Wireless Edge Networks,2025,https://arxiv.org/pdf/2507.09546,direct,arxiv.org,2507.09546,,"[""arXiv""]"
gsa-d762e756f43d,Dynamic Task Offloading and Resource Allocation for Air-Ground Integrated Networks Based on MADDPG,2025,https://journal.bit.edu.cn/jbit/en/article/pdf/preview/10.15918/j.jbit1004-0579.2024.124.pdf,direct,journal.bit.edu.cn,,,"[""journal.bit.edu.cn""]"
gsa-9ba4aee5254e,Latency Fairness for MEC-Enabled Cell-free massive MIMO: ICA-and AI-based Approaches,2025,https://vbn.aau.dk/files/785419171/Accepted_Author_Manuscript.pdf,direct,vbn.aau.dk,,,"[""vbn.aau.dk""]"
gsa-ab852b000bd3,The Actor-Critic Update Order Matters for PPO in Federated Reinforcement Learning,2025,https://arxiv.org/pdf/2506.01261,direct,arxiv.org,2506.01261,,"[""arXiv""]"
gsa-8311c3f5de5b,Learning Partonomic 3D Reconstruction from Image Collections,2025,https://openaccess.thecvf.com/content/CVPR2025/papers/Ruan_Learning_Partonomic_3D_Reconstruction_from_Image_Collections_CVPR_2025_paper.pdf,direct,openaccess.thecvf.com,,,"[""CVF Open Access""]"
gsa-a02668cfbc1a,Tensor-Based Efficient Federated Reinforcement Learning for Cyber-Physical-Social Intelligence,2025,https://ieeexplore.ieee.org/iel8/8254253/11002434/11002448.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-924e9cdcdbeb,Peer-driven task scheduling and resource allocation for enhanced performance in industrial IoT systems,2025,https://www.nature.com/articles/s41598-025-98910-3.pdf,derived_nature,www.nature.com,,10.1038/s41598-025-98910-3,"[""Nature""]"
gsa-9a64237f7552,Spatiotemporal Non-Uniformity-Aware Online Task Scheduling in Collaborative Edge Computing for Industrial Internet of Things,2025,https://arxiv.org/pdf/2505.02597,direct,arxiv.org,2505.02597,,"[""arXiv""]"
gsa-e32e74633511,MEC Task Offloading in AIoT: A User-Centric DRL Model Splitting Inference Scheme,2025,https://arxiv.org/pdf/2504.16729,direct,arxiv.org,2504.16729,,"[""arXiv""]"
gsa-16280b330fa0,Joint Encryption and Optimization for 6G MEC-Enabled IoT Networks,2025,https://ieeexplore.ieee.org/iel8/6287639/6514899/10979853.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-292a757e74a2,Joint Optimization of Task Offloading Content Caching and Resource Allocation in Vehicular Edge Computing,2025,https://dl.acm.org/doi/pdf/10.1145/3732782,direct,dl.acm.org,,10.1145/3732782,"[""ACM Digital Library""]"
gsa-7a8d6878fbfa,Modified grey wolf optimization for energy-efficient internet of things task scheduling in fog computing,2025,https://www.nature.com/articles/s41598-025-99837-5.pdf,derived_nature,www.nature.com,,10.1038/s41598-025-99837-5,"[""Nature""]"
gsa-2169e7129a33,Joint Task Offloading and Channel Allocation in Spatial-Temporal Dynamic for MEC Networks,2025,https://arxiv.org/pdf/2505.04272,direct,arxiv.org,2505.04272,,"[""arXiv""]"
gsa-304cfb88d6ed,Chaotic grey wolf optimization based framework for efficient task scheduling in cloud fog computing,2025,https://www.beei.org/index.php/EEI/article/download/8098/4226,direct,www.beei.org,,,"[""www.beei.org""]"
gsa-da93803e509a,Preemption Aware Task Scheduling for Priority and Deadline Constrained DNN Inference Task Offloading in Homogeneous Mobile-Edge Networks,2025,https://arxiv.org/pdf/2504.16792,direct,arxiv.org,2504.16792,,"[""arXiv""]"
gsa-66b07b38eb83,FR-EAHTS: federated reinforcement learning for enhanced task scheduling with hierarchical load balancing and dynamic power adjustment in multi-core systems,2025,https://link.springer.com/content/pdf/10.1007/s11235-025-01276-0.pdf,derived_springer_doi,link.springer.com,,10.1007/s11235-025-01276-0,"[""Springer""]"
gsa-e68013c3c676,Optimizing Resource Allocation and Task Offloading in Multi-UAV MEC Networks,2025,https://ieeexplore.ieee.org/iel8/6287639/6514899/10967484.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
